Connecting to localhost/Mbed
Connected rc: 0
Subscribed OK
0 0

0 0

0 0

1 1

2 1

3 1

no

4 1

5 3

6 3

7 3

8 1

9 1

10 1

11 1

12 1

13 1

14 1

15 3

16 3

17 3

18 3

19 2

20 2

21 2

22 2

23 1

24 1

4get image

25 1

26 4

27 4

28 4

29 4

30 1

31 1

32 1

33 4

34 4

35 4

36 1

37 1

38 1

39 1

40 1

41 1

42 1

43 4

44 4

45 4

46 4

47 1

48 1

49 1

10 4

53 4

54 1

slope

no

55 1

56 2

57 2

58 4

59 4

60 4

61 1

62 1

63 1

64 1

65 4

66 4

67 4

68 4

69 1

70 1

71 1

